entity_id,legacy_id,entity_class,entity_subtype,legacy_subtype,collections,preferred_name_el,preferred_name_en,ancient_name_grc,description_el,description_en,sanctuary_scope,sanctuary_setting,sanctuary_function_tags,ancient_region_authority_id,temporal_precision,location_certainty,record_confidence,review_state,translation_status,data_version,source_origin,last_reviewed,reviewer
city-epidaurus-city,city-epidaurus-city,settlement,polis,polis,city,Επίδαυρος,Epidaurus,Ἐπίδαυρος,"Παράκτια πόλη της Αργολίδας, πολιτικό κέντρο της επικράτειας όπου βρισκόταν και το Ασκληπιείο.",A coastal city of Argolis and the political centre of the territory that also contained the sanctuary of Asclepius.,,,,region-argolida,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-eretria-euboea,city-eretria-euboea,settlement,polis,polis,city,Ερέτρια,Eretria,Ἐρέτρια,Ισχυρή ευβοϊκή πόλη με εμπορικά δίκτυα και αποικίες στο Αιγαίο και τη Δύση.,Powerful Euboean city with trade networks and colonies in the Aegean and the West.,,,,region-eyboia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-gortyn,city-gortyn,settlement,polis,polis,city,Γόρτυνα,Gortyn,Γόρτυν,"Μεγάλη κρητική πόλη, γνωστή για τον αρχαϊκό νομικό κώδικα και τη ρωμαϊκή πρωτεύουσα Κρήτης και Κυρηναϊκής.","Large Cretan city, known for its archaic legal code and the Roman capital of Crete and Cyrenaica.",,,,region-krete,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-knossos,city-knossos,settlement,polis,polis,city,Κνωσός,Knossos,Κνωσός,"Πολυπερίοδη πόλη γύρω από το μινωικό ανακτορικό κέντρο, με συνεχή σημασία και στους ιστορικούς χρόνους.","Multi-period city around the Minoan palatial center, with continuous importance in historical times as well.",,,,region-krete,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-kos-city,city-kos-city,settlement,polis,polis,city,Κως,Kos,Κῶς,Η νέα πόλη της Κω ιδρύθηκε με συνοικισμό το 366 π.Χ. και έγινε σημαντικό εμπορικό και ιατρικό κέντρο.,The new city of Kos was founded by synoecism in 366 BCE and became an important commercial and medical centre.,,,,region-kos-dodekanesa,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-larissa-thessaly,city-larissa-thessaly,settlement,polis,polis,city,Λάρισα,Larissa,Λάρισα,Κεντρική θεσσαλική πόλη και έδρα της αριστοκρατικής οικογένειας των Αλευαδών.,A central Thessalian city and seat of the aristocratic Aleuadae.,,,,region-thessalia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-lindos,city-lindos,settlement,polis,polis,city,Λίνδος,Lindos,Λίνδος,"Μία από τις τρεις αρχαίες πόλεις της Ρόδου, με ισχυρή ναυτική και αποικιακή παράδοση.","One of the three ancient cities of Rhodes, with a strong maritime and colonial tradition.",,,,region-rodos-dodekanesa,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-mantinea,city-mantinea,settlement,polis,polis,city,Μαντίνεια,Mantinea,Μαντίνεια,Αρκαδική πόλη γνωστή για τις συγκρούσεις Σπάρτης και Θήβας στην πεδιάδα της.,Arcadian city known for the clashes between Sparta and Thebes on its plain.,,,,region-arkadia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-megalopolis,city-megalopolis,settlement,polis,polis,city,Μεγαλόπολη,Megalopolis,Μεγάλη Πόλις,"Ομοσπονδιακό κέντρο του Κοινού των Αρκάδων, δημιουργημένο με συνοικισμό τον 4ο αιώνα π.Χ.","Federal centre of the Arcadian League, created through synoecism in the fourth century BCE.",,,,region-arkadia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-megara,city-megara,settlement,polis,polis,city,Μέγαρα,Megara,Μέγαρα,Πόλη μεταξύ Αττικής και Κορινθίας με εκτεταμένη αποικιακή δραστηριότητα.,A city between Attica and Corinth with extensive colonial activity.,,,,region-megarida,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-messene,city-messene,settlement,polis,polis,city,Μεσσήνη,Messene,Μεσσήνη,"Νέα πρωτεύουσα των ελεύθερων Μεσσηνίων, ιδρυμένη από τον Επαμεινώνδα το 369 π.Χ.","New capital of the free Messenians, founded by Epaminondas in 369 BC.",,,,region-messenia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-mytilene,city-mytilene,settlement,polis,polis,city,Μυτιλήνη,Mytilene,Μυτιλήνη,"Κύρια πόλη της Λέσβου, σημαντικό αιολικό ναυτικό και πνευματικό κέντρο.",The principal city of Lesbos and an important Aeolian naval and intellectual centre.,,,,region-lesbos-aiolida,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-naxos-cyclades,city-naxos-cyclades,settlement,polis,polis,city,Νάξος,Naxos,Νάξος,Κυριότερη πόλη της Νάξου και ισχυρό κυκλαδικό κέντρο της αρχαϊκής εποχής.,Main city of Naxos and a strong Cycladic center of the Archaic era.,,,,region-kyklades,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-olynthus,city-olynthus,settlement,polis,polis,city,Όλυνθος,Olynthus,Ὄλυνθος,"Κύριο κέντρο του Κοινού των Χαλκιδέων, καταστραμμένο από τον Φίλιππο Β΄ το 348 π.Χ.","Principal centre of the Chalcidian League, destroyed by Philip II in 348 BCE.",,,,region-chalkidike,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-patrae,city-patrae,settlement,polis,polis,city,Πάτρα,Patrae,Πάτραι,Αχαϊκή πόλη που αναπτύχθηκε ιδιαίτερα ως λιμάνι και ρωμαϊκή αποικία.,Achaean city that developed especially as a port and Roman colony.,,,,region-achaia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-pella,city-pella,settlement,polis,polis,city,Πέλλα,Pella,Πέλλα,Πρωτεύουσα του μακεδονικού βασιλείου από τον 4ο αιώνα π.Χ. και γενέτειρα του Αλεξάνδρου.,Capital of the Macedonian kingdom since the 4th century BC. and birthplace of Alexander.,,,,region-makedonia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-pergamum,city-pergamum,settlement,polis,polis,city,Πέργαμος,Pergamum,Πέργαμον,Οχυρή ελληνιστική πρωτεύουσα των Ατταλιδών και μεγάλο διοικητικό και πολιτιστικό κέντρο.,Fortified Hellenistic capital of the Attalids and a large administrative and cultural center.,,,,region-mysia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-pherae-thessaly,city-pherae-thessaly,settlement,polis,polis,city,Φερές,Pherae,Φεραί,Ισχυρή θεσσαλική πόλη που κυριάρχησε στην περιοχή υπό τον Ιάσονα των Φερών.,A powerful Thessalian city that dominated the region under Jason of Pherae.,,,,region-thessalia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-piraeus,city-piraeus,settlement,polis,polis,city,Πειραιάς,Piraeus,Πειραιεύς,"Οχυρωμένο επίνειο της Αθήνας, οργανωμένο ως κύρια βάση του αθηναϊκού στόλου στις αρχές του 5ου αιώνα π.Χ.","A fortified port of Athens, organized as the main base of the Athenian fleet at the beginning of the 5th century BC.",,,,region-attike,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-ptolemais-cyrenaica,city-ptolemais-cyrenaica,settlement,polis,polis,city,Πτολεμαΐδα Κυρηναϊκής,Ptolemais of Cyrenaica,Πτολεμαΐς,Η ελληνιστική πόλη που αναπτύχθηκε από το λιμάνι της Βάρκης και έγινε σημαντικό κέντρο της Κυρηναϊκής.,A Hellenistic city that developed from the port of Barca and became an important centre of Cyrenaica.,,,,region-kyrenaike,approximate,medium,medium,needs_review,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-pydna,city-pydna,settlement,polis,polis,city,Πύδνα,Pydna,Πύδνα,"Μακεδονικό λιμάνι, γνωστό και από τη ρωμαϊκή νίκη επί του Περσέα το 168 π.Χ.","Macedonian port, also known from the Roman victory over Perseus in 168 BC.",,,,region-makedonia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-rhodes-city,city-rhodes-city,settlement,polis,polis,city,Ρόδος,Rhodes,Ῥόδος,"Νέα ομοσπονδιακή πρωτεύουσα του νησιού, ιδρυμένη με συνοικισμό το 408/407 π.Χ.","The island's new federal capital, founded through synoecism in 408/407 BCE.",,,,region-rodos-dodekanesa,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-samos-city,city-samos-city,settlement,polis,polis,city,Σάμος,Samos,Σάμος,"Ιωνική πόλη και ναυτική δύναμη, ιδιαίτερα ακμαία υπό τον Πολυκράτη τον 6ο αιώνα π.Χ.","Ionian city and naval power, particularly prosperous under Polycrates in the 6th century BC.",,,,region-ionia-samos,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-sicyon,city-sicyon,settlement,polis,polis,city,Σικυώνα,Sicyon,Σικυών,"Πόλη της βόρειας Πελοποννήσου, ιδιαίτερα γνωστή για τη γλυπτική και τη ζωγραφική της παράδοση.","City of the northern Peloponnese, particularly known for its sculpture and painting tradition.",,,,region-korinthia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-smyrna,city-smyrna,settlement,polis,polis,city,Σμύρνη,Smyrna,Σμύρνα,"Η ελληνιστική Σμύρνη ιδρύθηκε εκ νέου κοντά στο όρος Πάγος, διαδεχόμενη την παλαιότερη πόλη στο Μπαϊρακλί.","Hellenistic Smyrna was re-founded near Mount Pagos, succeeding the older city at Bayrakli.",,,,region-ionia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-sparta,city-sparta,settlement,polis,polis,city,Σπάρτη,Sparta,Σπάρτη,"Δωρική πόλη της Λακωνίας, γνωστή για το στρατιωτικό και πολιτειακό της σύστημα.","Doric city of Laconia, known for its military and political system.",,,,region-lakonia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-tegea,city-tegea,settlement,polis,polis,city,Τεγέα,Tegea,Τεγέα,Σημαντική αρκαδική πόλη και μακροχρόνια αντίπαλος της Σπάρτης.,Important Arcadian city and long-time rival of Sparta.,,,,region-arkadia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-thebes-boeotia,city-thebes-boeotia,settlement,polis,polis,city,Θήβα,Thebes,Θῆβαι,"Ηγετική πόλη της Βοιωτίας, με κορύφωση της ισχύος της τον 4ο αιώνα π.Χ.","A leading city of Boeotia, with the peak of its power in the 4th century BC.",,,,region-boiotia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-thera-city,city-thera-city,settlement,polis,polis,city,Θήρα,Thera,Θήρα,"Δωρική πόλη στη Θήρα, μητρόπολη της Κυρήνης σύμφωνα με την αρχαία παράδοση.","A Doric city on Thera and, according to ancient tradition, the metropolis of Cyrene.",,,,region-kyklades,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
city-thessalonica,city-thessalonica,settlement,polis,polis,city,Θεσσαλονίκη,Thessalonica,Θεσσαλονίκη,Πόλη που ίδρυσε ο Κάσσανδρος με συνοικισμό και εξελίχθηκε σε μεγάλο λιμάνι της Μακεδονίας.,A city founded by Cassander through synoecism that developed into a major Macedonian port.,,,,region-makedonia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-abydos,colony-abydos,settlement,polis,apoikia,colony,Άβυδος,Abydos,Ἄβυδος,"Μιλησιακή αποικία στο στενότερο σημείο του Ελλησπόντου, απέναντι από τη Σηστό.","A Milesian colony at the narrowest point of the Hellespont, opposite Sestos.",,,,region-troada-ellespontos,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-akragas,colony-akragas,settlement,polis,apoikia,colony,Ακράγαντας,Akragas,Ἀκράγας,Αποικία της Γέλας με μνημειακό πολεοδομικό και ναοδομικό τοπίο.,Colony of Gela with a monumental urban and temple landscape.,,,,region-sikelia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-ambracia,colony-ambracia,settlement,polis,apoikia,colony,Αμβρακία,Ambracia,Ἀμβρακία,Κορινθιακή αποικία στον Άραχθο και μεταγενέστερη πρωτεύουσα του Πύρρου.,Corinthian colony on Arachthos and later capital of Pyrrhus.,,,,region-epeiros,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-amisus,colony-amisus,settlement,polis,apoikia,colony,Αμισός,Amisus,Ἀμισός,"Ελληνική αποικία στη νότια ακτή του Ευξείνου, σημαντικό λιμάνι του Πόντου.","Greek colony on the southern coast of the Black Sea, an important port on the Pontus.",,,,region-pontos,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-amphipolis,colony-amphipolis,settlement,polis,apoikia,colony,Αμφίπολη,Amphipolis,Ἀμφίπολις,"Αθηναϊκή αποικία στον Στρυμόνα, στρατηγική για ξυλεία, μεταλλεία και τον δρόμο προς τη Θράκη.","An Athenian colony on the Strymon, strategically important for timber, mines and the route into Thrace.",,,,region-makedonia-edonida,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-ancona,colony-ancona,settlement,polis,apoikia,colony,Αγκών,Ancon,Ἀγκών,Λιμάνι που ίδρυσαν Συρακούσιοι άποικοι στην καμπή της ιταλικής ακτής της Αδριατικής.,Port established by Syracusan colonists at the bend of the Italian Adriatic coast.,,,,region-pikeno,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-apollonia-cyrenaica,colony-apollonia-cyrenaica,settlement,polis,apoikia,colony,Απολλωνία Κυρηναϊκής,Apollonia of Cyrenaica,Ἀπολλωνία,"Το επίνειο της Κυρήνης, που εξελίχθηκε σε αυτόνομη πόλη και μέλος της Πεντάπολης.","The port of Cyrene, which developed into an autonomous city and member of the Cyrenaican Pentapolis.",,,,region-kyrenaike,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-apollonia-illyria,colony-apollonia-illyria,settlement,polis,apoikia,colony,Απολλωνία Ιλλυρίας,Apollonia,Ἀπολλωνία,"Κορινθιακή και κερκυραϊκή αποικία κοντά στον Αώο, σημαντικός σταθμός της Εγνατίας οδού.",A joint Corinthian and Corcyraean colony near the Aoos and an important station on the Via Egnatia.,,,,region-illyria,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-apollonia-pontica,colony-apollonia-pontica,settlement,polis,apoikia,colony,Απολλωνία Ποντική,Apollonia Pontica,Ἀπολλωνία Ποντική,"Μεγάλη μιλησιακή αποικία της δυτικής ακτής του Ευξείνου, μεταγενέστερα γνωστή ως Σωζόπολις.","Large Milesian colony of the western coast of the Black Sea, later known as Sozopolis.",,,,region-thrake-eyxeinos-pontos,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-assos,colony-assos,settlement,polis,apoikia,colony,Άσσος,Assos,Ἄσσος,Αιολική αποικία της Μήθυμνας σε οχυρό ύψωμα απέναντι από τη Λέσβο.,An Aeolian colony of Methymna on a fortified hill opposite Lesbos.,,,,region-troada,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-barca-cyrenaica,colony-barca-cyrenaica,settlement,polis,apoikia,colony,Βάρκη,Barca,Βάρκη,Ελληνική αποικία της ενδοχώρας της Κυρηναϊκής με λιμάνι τη μετέπειτα Πτολεμαΐδα.,A Greek colony in the Cyrenaican interior whose port later developed into Ptolemais.,,,,region-kyrenaike,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-byzantium,colony-byzantium,settlement,polis,apoikia,colony,Βυζάντιο,Byzantium,Βυζάντιον,Μεγαρική αποικία σε εξαιρετική θέση στον Βόσπορο· το 330 μ.Χ. μετασχηματίστηκε σε Κωνσταντινούπολη.,A Megarian colony in an exceptional position on the Bosporus; in 330 CE it was transformed into Constantinople.,,,,region-thrake-bosporos,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-callatis,colony-callatis,settlement,polis,apoikia,colony,Κάλλατις,Callatis,Κάλλατις,"Ηρακλειώτικη αποικία στη δυτική ακτή του Ευξείνου, με δραστήρια ελληνιστική οικονομία.","A colony of Heraclea Pontica on the western Black Sea coast, with an active Hellenistic economy.",,,,region-skythia-mikra,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-catana,colony-catana,settlement,polis,apoikia,colony,Κατάνη,Catana,Κατάνη,"Χαλκιδική αποικία στους πρόποδες της Αίτνας, στη θέση της σύγχρονης Κατάνιας.","A Chalcidian colony at the foot of Mount Etna, on the site of modern Catania.",,,,region-sikelia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-chalcedon,colony-chalcedon,settlement,polis,apoikia,colony,Χαλκηδόνα,Chalcedon,Χαλκηδών,"Μεγαρική αποικία στην ασιατική είσοδο του Βοσπόρου, απέναντι από το Βυζάντιο.","Megarian colony at the Asian entrance to the Bosphorus, opposite Byzantium.",,,,region-bithynia-bosporos,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-chersonesus-taurica,colony-chersonesus-taurica,settlement,polis,apoikia,colony,Χερσόνησος Ταυρική,Chersonesus Taurica,Χερσόνησος,Ηρακλειώτικη αποικία στη νοτιοδυτική Κριμαία με οργανωμένη αγροτική χώρα.,"A colony of Heraclea Pontica in southwestern Crimea, distinguished by its organized agricultural chora.",,,,region-tayrike,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-clazomenae,colony-clazomenae,settlement,polis,apoikia,colony,Κλαζομενές,Clazomenae,Κλαζομεναί,"Ιωνική πόλη σε νησίδα και στην απέναντι ακτή, σημαντική για την κεραμική και το εμπόριο.","Ionian city on an island and on the opposite coast, important for pottery and trade.",,,,region-ionia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
colony-cnidus,colony-cnidus,settlement,polis,apoikia,colony,Κνίδος,Cnidus,Κνίδος,Η μνημειακή νεότερη Κνίδος στο άκρο της χερσονήσου διαδέχθηκε την αρχαιότερη δωρική εγκατάσταση στο Burgaz.,The monumental later city of Cnidus at the tip of the peninsula succeeded an earlier Doric settlement at Burgaz.,,,,region-karia,approximate,high,high,reviewed,machine_assisted_reviewed,1.0.0,archaios_ellinikos_kosmos_entities_v0_1.csv,2026-08-14,Codex-assisted normalization of user research
